,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,Bluff,15,AU,2019-11-10 04:51:21,9,89.69,-23.58,149.07,2.98
1,Sivaki,100,RU,2019-11-10 04:51:21,92,17.35,52.63,126.75,10.92
2,Souillac,37,FR,2019-11-10 04:51:21,87,42.8,45.6,-0.6,3.36
3,Chokurdakh,71,RU,2019-11-10 04:49:56,96,-2.87,70.62,147.9,5.46
4,Busselton,15,AU,2019-11-10 04:51:22,35,82.0,-33.64,115.35,12.41
5,Faanui,100,PF,2019-11-10 04:50:16,83,77.7,-16.48,-151.75,11.72
6,Yulara,0,AU,2019-11-10 04:50:45,7,89.6,-25.24,130.99,10.29
7,Ancud,74,CL,2019-11-10 04:50:38,93,50.0,-41.87,-73.83,4.7
8,Saskatoon,90,CA,2019-11-10 04:48:17,71,8.6,52.13,-106.66,5.82
9,Ushuaia,18,AR,2019-11-10 04:51:23,86,37.4,-54.81,-68.31,2.84
10,Aykhal,75,RU,2019-11-10 04:51:23,75,-16.61,65.95,111.51,6.71
11,Hobyo,8,SO,2019-11-10 04:50:54,60,83.03,5.35,48.53,13.71
12,Los llanos de aridane,90,ES,2019-11-10 04:51:23,77,68.0,28.66,-17.92,17.22
13,Hobart,75,AU,2019-11-10 04:47:47,41,62.01,-42.88,147.33,14.99
14,Liverpool,20,GB,2019-11-10 04:51:23,86,41.0,53.41,-2.98,9.17
15,Ust-maya,36,RU,2019-11-10 04:51:23,95,-13.82,60.42,134.54,2.24
16,Yar-sale,0,RU,2019-11-10 04:51:24,98,-6.96,66.83,70.83,4.68
17,Vaini,0,IN,2019-11-10 04:51:24,73,75.2,15.34,74.49,6.93
18,Saskylakh,94,RU,2019-11-10 04:51:24,99,-3.28,71.97,114.09,0.69
19,Hilo,75,US,2019-11-10 04:51:24,74,80.6,19.71,-155.08,6.93
20,Hermanus,78,ZA,2019-11-10 04:51:24,84,64.0,-34.42,19.24,11.01
21,Kapaa,40,US,2019-11-10 04:49:27,73,78.8,22.08,-159.32,5.82
22,Rikitea,97,PF,2019-11-10 04:51:24,72,73.85,-23.12,-134.97,13.06
23,Cape town,20,ZA,2019-11-10 04:49:41,93,63.0,-33.93,18.42,9.17
24,Ayr,26,AU,2019-11-10 04:51:25,50,84.0,-19.58,147.4,11.01
25,Atuona,2,PF,2019-11-10 04:49:53,80,79.79,-9.8,-139.03,14.25
26,Albany,90,US,2019-11-10 04:49:23,37,35.6,42.65,-73.75,8.05
27,Shakiso,91,ET,2019-11-10 04:51:25,86,67.32,5.77,38.9,2.21
28,Mar del plata,99,AR,2019-11-10 04:49:49,71,47.73,-46.43,-67.52,16.44
29,Avarua,0,CK,2019-11-10 04:50:03,83,75.2,-21.21,-159.78,8.05
30,Storforshei,0,NO,2019-11-10 04:51:26,74,3.13,66.4,14.52,4.94
31,Savannah bight,20,HN,2019-11-10 04:51:26,70,83.07,16.45,-85.85,7.34
32,Kavieng,100,PG,2019-11-10 04:51:26,81,79.29,-2.57,150.8,4.23
33,Sept-iles,90,CA,2019-11-10 04:51:26,85,19.0,50.2,-66.38,6.93
34,Mahebourg,75,MU,2019-11-10 04:51:26,78,79.0,-20.41,57.7,3.36
35,Hirara,40,JP,2019-11-10 04:51:26,47,75.2,24.8,125.28,8.05
36,Esperance,34,AU,2019-11-10 04:50:15,22,87.8,-33.86,121.89,27.51
37,Tuatapere,100,NZ,2019-11-10 04:51:27,82,51.01,-46.13,167.69,5.99
38,Alta floresta,100,BR,2019-11-10 04:51:27,99,70.41,-9.87,-56.08,2.68
39,Mackenzie,90,CA,2019-11-10 04:47:35,66,10.4,55.34,-123.09,5.82
40,Koster,82,ZA,2019-11-10 04:51:27,79,63.86,-25.86,26.9,23.73
41,Nikolskoye,90,RU,2019-11-10 04:51:27,93,42.8,59.7,30.79,6.71
42,Pevek,0,RU,2019-11-10 04:51:27,67,6.44,69.7,170.27,2.68
43,Toora-khem,100,RU,2019-11-10 04:51:27,56,17.1,52.47,96.11,3.31
44,Atar,100,MR,2019-11-10 04:50:45,21,71.38,20.52,-13.05,8.97
45,Port elizabeth,20,US,2019-11-10 04:51:28,79,35.01,39.31,-74.98,4.63
46,Hamilton,75,CA,2019-11-10 04:51:10,74,39.2,43.26,-79.87,11.41
47,Abu dhabi,54,AE,2019-11-10 04:50:30,57,77.0,24.47,54.37,11.41
48,Port alfred,100,ZA,2019-11-10 04:47:55,93,64.0,-33.59,26.89,5.01
49,Norman wells,5,CA,2019-11-10 04:51:28,83,-11.21,65.28,-126.83,4.7
50,New norfolk,75,AU,2019-11-10 04:51:29,39,62.6,-42.78,147.06,12.75
51,Maryborough,0,AU,2019-11-10 04:51:29,14,88.52,-25.54,152.7,4.5
52,Butaritari,86,KI,2019-11-10 04:49:55,60,85.32,3.07,172.79,1.36
53,Jamestown,0,AU,2019-11-10 04:51:29,13,75.81,-33.21,138.6,9.84
54,Puerto ayora,16,EC,2019-11-10 04:51:29,89,70.0,-0.74,-90.35,4.0
55,Cockburn town,2,TC,2019-11-10 04:48:21,74,82.15,21.46,-71.14,5.37
56,Ribeira grande,51,PT,2019-11-10 04:49:50,84,62.78,38.52,-28.7,5.91
57,Sovetskaya,98,RU,2019-11-10 04:51:29,10,41.0,44.78,41.17,8.01
58,Longyearbyen,75,NO,2019-11-10 04:51:30,73,23.0,78.22,15.63,5.82
59,Mandurah,90,AU,2019-11-10 04:51:30,64,75.99,-32.55,115.7,12.75
60,Tiznit,0,MA,2019-11-10 04:51:30,37,53.49,29.7,-9.73,2.21
61,Nabinagar,75,BD,2019-11-10 04:51:30,94,75.2,23.88,90.97,14.16
62,Caravelas,3,BR,2019-11-10 04:51:30,95,68.18,-17.73,-39.27,4.7
63,Saint-joseph,71,FR,2019-11-10 04:51:30,93,52.0,43.56,6.97,3.36
64,Port hardy,90,CA,2019-11-10 04:51:31,100,48.2,50.7,-127.42,4.7
65,Kruisfontein,97,ZA,2019-11-10 04:50:28,86,62.24,-34.0,24.73,15.84
66,Arraial do cabo,100,BR,2019-11-10 04:50:12,93,73.04,-22.97,-42.02,14.65
67,Bethel,1,US,2019-11-10 04:51:31,85,26.6,60.79,-161.76,13.87
68,Spirit river,90,CA,2019-11-10 04:51:31,84,6.8,55.78,-118.84,4.7
69,Ixtapa,75,MX,2019-11-10 04:51:31,88,82.4,20.71,-105.21,3.36
70,Honningsvag,0,NO,2019-11-10 04:50:08,66,30.63,70.98,25.97,14.25
71,Namibe,26,AO,2019-11-10 04:51:32,77,77.07,-15.19,12.15,4.05
72,Guerrero negro,99,MX,2019-11-10 04:51:32,68,69.4,27.97,-114.04,11.41
73,Kaeo,100,NZ,2019-11-10 04:51:32,100,66.99,-35.1,173.78,20.92
74,Bambous virieux,75,MU,2019-11-10 04:50:21,78,79.0,-20.34,57.76,3.36
75,Ambilobe,57,MG,2019-11-10 04:51:32,42,88.74,-13.19,49.05,7.43
76,Aasiaat,47,GL,2019-11-10 04:51:32,53,29.46,68.71,-52.87,19.44
77,Katsuura,75,JP,2019-11-10 04:51:32,51,62.6,33.93,134.5,12.75
78,Goderich,83,CA,2019-11-10 04:51:33,79,42.01,43.74,-81.71,15.01
79,Mataura,92,NZ,2019-11-10 04:51:33,82,51.01,-46.19,168.86,5.99
80,Arboletes,100,CO,2019-11-10 04:51:33,78,79.83,8.85,-76.43,16.37
81,Aklavik,20,CA,2019-11-10 04:50:02,55,6.8,68.22,-135.01,4.7
82,Punta arenas,33,CL,2019-11-10 04:51:33,65,41.0,-53.16,-70.91,13.87
83,Voh,0,NC,2019-11-10 04:51:33,69,74.7,-20.95,164.69,11.34
84,Hami,0,CN,2019-11-10 04:51:34,18,48.67,42.84,93.51,3.0
